symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,deflated_sharpe,sortino_like,cost_roundtrip,r2,mae_bps,rmse_bps,mape_pct,price_track_path
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],11.0,29,,-3.0841314582294603,,-89.43981228865435,-0.06235919007167405,3.6440905848422744e-11,-0.1392423619148184,0.0023,-0.1521872883371116,64.81822964082544,85.78560751482406,249.09105744500343,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_hgb_reg_20251016_203401.csv
BTCUSDT,4h,120 days ago UTC,16,rf_reg,673,time,0.2,,return_bps,0.0,,,,,,[],43.0,23,,-1.9389736798867654,,-44.596394637395605,-0.04105874914902806,0.15546217117940297,-0.1371081435425526,0.0023,-0.545181563029042,81.83990604412782,99.34380833361504,487.3339816987909,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_rf_reg_20251016_203407.csv
BTCUSDT,4h,120 days ago UTC,16,linreg,673,time,0.2,,return_bps,0.0,,,,,,[],0.0,1,,30.72014677072157,,30.72014677072157,30720146770.72157,,,0.0023,-0.5361667063483666,71.31655712691784,99.05446437187818,278.17877583562324,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_linreg_20251016_203412.csv
BTCUSDT,4h,120 days ago UTC,16,svr,673,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,4.207967396641088e-06,57.48033061317527,79.92075124694601,101.23386609990361,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_svr_20251016_203418.csv
BTCUSDT,4h,120 days ago UTC,16,arima,673,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.00032990707757751814,57.41220211008248,79.93518972083056,96.96979812992214,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_arima_20251016_203423.csv
BTCUSDT,4h,120 days ago UTC,16,bilstm,658,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.00953637872057711,58.22828484774084,81.09810585216006,103.26533055863112,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_bilstm_20251016_203431.csv
BTCUSDT,4h,120 days ago UTC,16,gru_lstm,658,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.001010288976087903,58.220093040260835,80.75719369867289,97.15522824295633,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_gru_lstm_20251016_203441.csv
BTCUSDT,4h,120 days ago UTC,16,hybrid_transformer,658,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.038464068497614745,59.26762241024693,82.25325722088172,124.97732476824285,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_hybrid_transformer_20251016_203448.csv
BTCUSDT,4h,120 days ago UTC,16,sarimax,673,time,0.2,,return_bps,0.0,,,,,,[],57.0,43,,-11.523618282555026,,-495.51558614986607,-0.16907476984729347,0.053432087104216486,-0.26100625727219506,0.0023,-42.68897014253906,429.5745766038447,528.2767832923015,2837.244029546738,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_sarimax_20251016_203453.csv
BTCUSDT,4h,120 days ago UTC,16,var,673,time,0.2,,return_bps,0.0,,,,,,[],0.0,1,,16.607921371100915,,16.607921371100915,16607921371.100914,,,0.0023,0.003525483626529602,56.934513364759574,79.7826989458854,105.62743612448105,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_var_20251016_203505.csv
BTCUSDT,4h,120 days ago UTC,16,garch,673,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.0003884502340154583,57.43721516671038,79.94080276624996,97.00803948210954,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_garch_20251016_203510.csv
BTCUSDT,4h,120 days ago UTC,16,markov_switching,673,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.0004577381874302233,57.41475393603165,79.9410990448577,96.98109416408447,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_markov_switching_20251016_203515.csv
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],20.0,1,,-23.818928957911915,,-23.818928957911915,-23818928957.911915,,-23818928957.911915,0.0023,-0.13283642264256068,97.65585935378768,132.3444095037135,355.3255299168974,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_hgb_reg_20251016_203520.csv
BTCUSDT,8h,120 days ago UTC,16,rf_reg,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.440658139036344,117.29382931074193,149.23809279966954,308.75628868170764,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_rf_reg_20251016_203526.csv
BTCUSDT,8h,120 days ago UTC,16,linreg,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-1.3824864430167376,165.265576974189,191.93381307823913,846.3317495211111,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_linreg_20251016_203534.csv
BTCUSDT,8h,120 days ago UTC,16,svr,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.0003997077961819251,88.77474741390094,124.3741431901517,123.49000923803031,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_svr_20251016_203539.csv
BTCUSDT,8h,120 days ago UTC,16,arima,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.0006215452539972688,88.9061149666271,124.4135063784552,101.43869270472605,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_arima_20251016_203544.csv
BTCUSDT,8h,120 days ago UTC,16,bilstm,298,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,0.0034028539791340906,91.49921196466909,126.97705568549304,100.09057203564285,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_bilstm_20251016_203552.csv
BTCUSDT,8h,120 days ago UTC,16,gru_lstm,298,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.0009660573121625937,91.65986747057966,127.26308440335708,100.59023657229554,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_gru_lstm_20251016_203600.csv
BTCUSDT,8h,120 days ago UTC,16,hybrid_transformer,298,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,0.011338111904515502,91.37092397739659,126.44164842192681,106.3897469532934,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_hybrid_transformer_20251016_203614.csv
